,popularity,album.total_tracks,audio_features.acousticness,audio_features.danceability,audio_features.energy,audio_features.instrumentalness,audio_features.loudness,audio_features.liveness,audio_features.tempo,audio_features.mode,audio_features.speechiness,audio_features.valence,audio_features.time_signature,audio_features.key
268,63,1,0.137,0.785,0.47,1.12e-06,-6.42,0.131,120.006,0,0.0329,0.0569,4,7
269,55,1,0.394,0.654,0.367,2.06e-06,-10.471,0.162,109.708,0,0.104,0.191,4,7
270,68,14,0.0254,0.496,0.723,0.0171,-6.625,0.218,130.477,0,0.0413,0.321,5,10
271,67,11,0.279,0.788,0.528,0.00257,-6.688,0.103,107.941,1,0.0729,0.464,4,11
272,68,7,0.0314,0.78,0.42,1.48e-05,-9.218,0.118,99.024,0,0.1,0.0952,4,6
273,82,1,0.0748,0.494,0.849,0.00152,-6.438,0.791,181.428,0,0.343,0.512,5,0
274,73,1,0.0106,0.628,0.652,0.00157,-6.065,0.145,104.075,0,0.0543,0.552,4,4
275,67,6,0.259,0.424,0.568,0.0,-7.294,0.0836,96.666,0,0.166,0.43,4,11
276,62,11,0.713,0.895,0.58,0.000589,-7.373,0.0934,122.55,0,0.199,0.368,4,1
277,58,1,0.242,0.836,0.598,2.89e-06,-5.829,0.101,159.997,1,0.448,0.908,4,8
278,60,5,0.432,0.716,0.36,0.0,-11.168,0.1,96.875,0,0.403,0.147,4,6
279,61,1,0.0354,0.291,0.376,2.04e-05,-11.91,0.11,178.399,1,0.0502,0.174,4,7
280,77,1,0.911,0.462,0.331,0.0,-8.794,0.15,141.364,0,0.0432,0.604,3,9
281,64,12,0.0155,0.693,0.503,0.00153,-3.647,0.133,76.119,1,0.0279,0.426,3,10
282,63,1,0.531,0.776,0.537,0.0316,-5.459,0.111,82.02,0,0.0406,0.586,4,10
283,58,10,0.381,0.759,0.233,0.059,-9.342,0.11,83.86,1,0.0336,0.555,3,1
284,65,1,0.836,0.595,0.267,0.0,-10.23,0.158,105.205,1,0.0308,0.229,4,0
285,56,17,0.299,0.539,0.47,0.0,-8.582,0.124,129.676,0,0.0652,0.384,4,2
286,73,14,0.611,0.762,0.48,0.0,-6.595,0.0907,127.95,0,0.0471,0.598,4,10
287,63,13,0.689,0.468,0.38,5.98e-05,-6.326,0.114,129.897,1,0.0309,0.406,3,1
288,65,1,0.464,0.526,0.459,0.0,-8.784,0.229,139.387,0,0.164,0.342,4,0
289,65,9,0.928,0.574,0.176,0.437,-10.924,0.119,78.929,0,0.213,0.497,4,8
290,58,14,0.24,0.606,0.729,1.73e-06,-4.473,0.423,80.052,0,0.0619,0.527,4,7
291,63,16,0.0878,0.633,0.535,1.34e-05,-6.577,0.0999,170.013,0,0.189,0.718,4,7
292,61,12,0.0492,0.549,0.748,2.96e-05,-5.808,0.364,77.418,0,0.047,0.353,4,5
293,72,14,0.425,0.822,0.32,0.000101,-8.184,0.121,119.983,1,0.139,0.311,4,8
294,78,23,0.853,0.707,0.261,0.0,-10.139,0.127,65.038,0,0.0784,0.545,4,9
295,61,11,0.355,0.456,0.511,0.000468,-8.685,0.221,80.082,1,0.0304,0.179,3,7
296,63,11,0.513,0.602,0.344,0.0,-7.89,0.133,137.702,1,0.149,0.315,3,7
297,67,14,0.617,0.648,0.43,0.000567,-9.594,0.259,92.041,1,0.0356,0.0788,4,1
298,61,14,0.554,0.788,0.489,4.73e-05,-7.729,0.118,104.032,0,0.0415,0.779,4,0
299,70,1,0.0166,0.589,0.661,1.35e-05,-9.031,0.158,217.969,1,0.28,0.619,4,1
300,90,1,0.198,0.788,0.758,8.5e-05,-6.513,0.104,119.008,1,0.0505,0.823,4,1
301,78,1,0.0589,0.747,0.612,0.0,-6.447,0.451,149.893,1,0.0929,0.89,4,5
302,82,15,0.093,0.818,0.512,0.0441,-9.056,0.11,131.967,0,0.0926,0.155,4,5
303,82,14,0.00348,0.685,0.61,0.00054,-5.36,0.183,107.999,0,0.0343,0.464,4,5
304,62,1,0.688,0.35,0.485,0.0128,-8.909,0.0924,141.478,1,0.0354,0.223,4,0
305,65,21,0.285,0.791,0.569,0.000143,-8.618,0.114,134.019,1,0.0413,0.562,4,0
306,86,1,0.588,0.704,0.571,0.0,-8.212,0.117,96.016,0,0.156,0.443,4,7
307,63,1,0.236,0.629,0.571,0.0,-9.097,0.117,129.992,0,0.0355,0.607,3,9
308,69,1,0.438,0.756,0.53,0.0,-9.732,0.194,92.5,1,0.396,0.517,4,0
309,66,1,0.633,0.242,0.318,0.537,-12.534,0.169,168.339,1,0.0386,0.329,4,5
310,65,3,0.0712,0.307,0.535,0.0141,-8.554,0.257,82.83,0,0.033,0.27,4,11
311,69,1,0.193,0.577,0.814,0.000372,-4.688,0.163,168.015,0,0.0732,0.512,4,6
312,64,1,0.00652,0.66,0.934,4.56e-06,-2.989,0.0654,150.012,1,0.258,0.881,4,0
313,64,1,0.0514,0.833,0.765,0.609,-9.806,0.37,129.996,0,0.0406,0.424,4,5
314,66,1,0.194,0.589,0.852,0.00215,-2.075,0.257,94.975,1,0.0472,0.611,4,7
315,57,1,0.16,0.454,0.615,0.0,-6.244,0.1,147.935,1,0.0348,0.168,4,4
316,67,1,0.00169,0.767,0.749,0.0,-2.615,0.0491,100.021,1,0.0421,0.643,4,0
317,63,2,0.0364,0.547,0.693,3.76e-05,-4.946,0.073,105.904,0,0.0282,0.296,4,6
318,67,1,0.652,0.59,0.506,0.466,-5.7,0.375,115.051,1,0.0596,0.356,4,2
319,54,11,0.0183,0.558,0.89,0.0,-4.533,0.103,115.222,1,0.45,0.626,5,8
320,61,1,0.269,0.831,0.761,0.00215,-6.574,0.12,114.062,1,0.137,0.797,4,7
321,55,1,0.394,0.654,0.367,2.06e-06,-10.471,0.162,109.708,0,0.104,0.191,4,7
322,60,1,0.188,0.548,0.703,0.0,-7.968,0.183,77.235,0,0.557,0.456,4,6
323,58,1,0.222,0.826,0.574,0.0,-7.513,0.344,109.263,1,0.259,0.813,5,8
324,70,1,0.00888,0.602,0.841,0.00029,-5.553,0.0623,130.052,1,0.0357,0.563,4,7
325,69,1,0.384,0.527,0.551,2.75e-06,-11.258,0.403,148.035,1,0.0345,0.443,4,7
326,53,1,0.000995,0.664,0.808,0.00279,-6.378,0.106,105.985,1,0.0439,0.107,5,7
327,62,1,0.174,0.692,0.823,0.00016,-5.841,0.109,109.991,1,0.0618,0.438,4,0
328,52,4,0.069,0.51,0.843,0.0,-4.074,0.0771,156.041,1,0.0457,0.718,4,5
329,59,1,0.175,0.656,0.489,0.000245,-7.166,0.134,134.153,1,0.0277,0.166,4,6
330,59,17,0.163,0.502,0.623,0.0,-6.461,0.0806,94.968,1,0.164,0.361,4,1
331,69,1,0.152,0.84,0.629,0.0,-6.629,0.154,148.125,0,0.291,0.564,4,6
332,46,1,0.0607,0.917,0.509,0.0,-9.614,0.0845,108.007,0,0.14,0.678,4,1
333,56,3,0.222,0.749,0.76,0.0,-4.415,0.453,136.004,0,0.11,0.773,4,1
334,66,1,0.127,0.684,0.885,0.0,-2.882,0.212,173.846,1,0.0561,0.654,4,0
335,58,1,0.000522,0.615,0.855,0.633,-5.878,0.352,123.996,1,0.0318,0.512,4,0
336,58,1,0.027,0.799,0.837,0.0,-5.681,0.109,117.19,0,0.47,0.531,4,11
337,62,3,0.358,0.529,0.816,0.2,-5.532,0.14,85.026,1,0.0302,0.681,4,5
338,59,3,0.567,0.383,0.312,0.796,-12.037,0.107,123.446,1,0.0324,0.26,5,10
339,55,1,0.0066,0.347,0.863,0.00207,-3.675,0.356,134.077,0,0.298,0.317,3,9
340,53,1,0.000118,0.493,0.921,0.000179,-3.063,0.159,117.531,1,0.0333,0.449,4,7
341,57,6,0.0299,0.537,0.873,0.0,-4.516,0.0768,130.007,1,0.0521,0.51,4,1
342,50,1,0.78,0.469,0.504,5.95e-06,-8.277,0.126,145.917,1,0.0357,0.268,3,11
343,43,1,0.502,0.517,0.365,0.00141,-13.541,0.381,115.038,1,0.0289,0.428,4,2
344,55,10,0.389,0.601,0.73,0.017,-6.065,0.116,125.967,1,0.0348,0.824,4,0
345,47,2,0.279,0.709,0.559,0.14,-9.811,0.143,101.001,0,0.0481,0.567,4,11
346,57,1,0.465,0.669,0.55,0.0,-8.064,0.241,144.973,1,0.244,0.354,4,0
347,57,1,0.129,0.689,0.714,0.0,-7.51,0.0542,132.984,1,0.347,0.415,4,8
348,63,1,0.191,0.545,0.793,0.00281,-3.615,0.335,87.024,0,0.0371,0.411,4,0
349,64,8,0.023,0.489,0.67,3.9e-05,-7.179,0.539,180.168,0,0.253,0.367,4,5
350,51,3,0.803,0.817,0.42,0.166,-8.82,0.108,95.958,1,0.0329,0.443,4,11
351,41,1,0.2,0.672,0.47,0.000421,-8.154,0.437,108.949,0,0.0326,0.505,3,9
352,51,4,0.00505,0.525,0.702,2.87e-06,-5.016,0.507,101.972,1,0.0343,0.346,4,0
353,50,2,0.117,0.466,0.78,8.51e-06,-3.502,0.0795,151.93,0,0.0754,0.487,4,0
354,55,10,0.0224,0.409,0.826,0.0,-3.919,0.349,151.992,1,0.0422,0.564,4,0
355,45,13,0.0567,0.602,0.736,0.0,-5.355,0.1,140.007,1,0.0376,0.471,4,6
356,43,2,0.0627,0.574,0.549,0.000307,-7.971,0.0769,136.055,1,0.0313,0.205,4,0
357,64,1,0.00773,0.599,0.832,0.000513,-6.811,0.159,100.132,0,0.0895,0.59,4,10
358,50,1,0.133,0.66,0.667,0.00307,-5.901,0.0771,154.948,1,0.0347,0.703,4,1
359,69,1,0.0341,0.658,0.798,0.0,-4.108,0.175,135.515,1,0.138,0.568,5,0
360,52,1,0.0146,0.832,0.58,0.0,-9.848,0.103,140.035,0,0.322,0.716,4,10
361,46,1,0.303,0.533,0.619,0.0,-8.671,0.0978,76.39,0,0.333,0.511,4,1
362,39,1,0.102,0.733,0.471,0.0,-9.361,0.203,85.007,0,0.0482,0.321,4,7
363,60,1,0.00121,0.728,0.795,0.275,-5.399,0.341,128.047,1,0.0568,0.821,4,8
364,75,10,0.221,0.762,0.9,0.0,-3.257,0.0837,105.01,0,0.127,0.674,4,0
365,53,1,0.43,0.564,0.796,0.363,-10.099,0.194,162.063,1,0.0688,0.371,4,11
366,57,1,0.313,0.777,0.643,0.805,-8.66,0.0697,164.771,0,0.0818,0.576,4,11
367,50,1,0.105,0.388,0.435,0.0,-7.284,0.125,109.818,0,0.0353,0.15,4,8
368,58,5,0.0324,0.535,0.878,0.000293,-4.601,0.356,91.01,0,0.0509,0.638,4,4
369,53,1,0.0228,0.591,0.771,0.0,-4.494,0.199,83.874,1,0.236,0.304,4,11
370,45,1,0.289,0.697,0.88,0.0,-2.142,0.418,97.127,0,0.248,0.669,4,4
371,75,1,0.162,0.181,0.509,2.36e-05,-8.753,0.111,89.462,0,0.0532,0.0929,4,8
372,51,5,0.000108,0.501,0.887,1.52e-05,-4.069,0.284,82.527,1,0.0427,0.624,4,2
373,58,1,0.704,0.532,0.452,0.00133,-7.565,0.169,149.407,0,0.026,0.483,3,1
374,45,4,0.965,0.409,0.134,0.000355,-17.879,0.226,157.674,1,0.0866,0.157,4,9
375,54,1,0.462,0.413,0.592,0.0,-5.638,0.0744,72.136,1,0.0401,0.256,4,1
376,43,1,0.212,0.599,0.708,0.0,-5.675,0.33,85.949,1,0.118,0.711,4,9
377,41,1,0.748,0.485,0.308,2.08e-05,-12.069,0.106,90.872,1,0.338,0.222,4,6
378,58,15,0.229,0.783,0.544,0.0,-6.875,0.0718,129.938,0,0.307,0.477,4,9
379,40,1,0.0312,0.8,0.315,0.0053,-9.609,0.0921,157.903,1,0.272,0.36,4,1
380,62,1,0.102,0.602,0.802,0.0,-3.643,0.635,144.934,0,0.123,0.294,4,10
381,54,10,0.828,0.553,0.218,0.0,-11.512,0.326,84.946,0,0.0461,0.699,4,10
382,59,1,0.126,0.741,0.947,0.854,-5.022,0.0776,123.991,1,0.0614,0.513,4,1
383,42,4,0.00825,0.515,0.712,0.215,-7.76,0.429,134.938,0,0.0323,0.708,4,9
384,48,1,0.0459,0.355,0.582,2.16e-06,-5.063,0.114,183.807,1,0.0367,0.192,4,2
385,45,3,0.231,0.559,0.729,0.00017,-5.616,0.0848,138.014,1,0.031,0.461,4,3
386,50,1,0.0708,0.728,0.88,3.51e-05,-4.648,0.0925,136.042,1,0.0429,0.323,4,1
387,44,10,0.0974,0.805,0.765,0.0,-4.795,0.121,143.18,1,0.34,0.567,4,1
388,57,1,0.649,0.735,0.7,0.000658,-7.794,0.118,101.985,0,0.112,0.964,4,3
389,43,1,0.187,0.627,0.762,1.87e-05,-4.875,0.173,177.952,1,0.283,0.551,4,7
390,54,1,0.048,0.592,0.888,0.0,-5.338,0.0347,164.984,1,0.0608,0.304,4,2
391,54,1,0.297,0.691,0.694,0.0,-4.951,0.209,95.933,0,0.0386,0.472,4,4
392,50,1,0.666,0.684,0.719,3.87e-05,-8.669,0.118,139.956,0,0.128,0.691,4,0
393,49,1,0.0566,0.719,0.598,0.0,-8.264,0.277,139.829,0,0.649,0.492,4,8
394,53,1,0.0026,0.771,0.788,0.00553,-6.677,0.112,129.029,1,0.0728,0.366,4,8
395,44,4,0.903,0.471,0.226,0.0115,-17.203,0.11,118.056,1,0.0326,0.115,4,2
396,40,2,0.591,0.696,0.363,0.00131,-11.001,0.108,90.866,1,0.0342,0.548,4,8
397,42,1,0.147,0.445,0.671,0.00017,-9.435,0.159,93.433,1,0.0887,0.518,4,11
398,42,1,0.636,0.178,0.179,0.054,-14.519,0.638,80.231,1,0.0332,0.146,4,3
399,75,1,0.992,0.384,0.0189,0.947,-31.119,0.0967,62.479,1,0.0395,0.0834,4,1
400,74,1,0.984,0.435,0.0404,0.96,-26.262,0.0952,95.929,1,0.0358,0.193,4,4
401,73,1,0.995,0.461,0.0286,0.986,-25.117,0.116,113.851,1,0.0482,0.471,4,0
402,74,1,0.991,0.386,0.0128,0.931,-28.66,0.109,126.374,1,0.0396,0.189,4,1
403,73,1,0.994,0.47,0.0243,0.896,-24.242,0.121,81.805,1,0.0354,0.331,3,5
404,72,1,0.99,0.362,0.0315,0.906,-30.671,0.118,111.026,1,0.0433,0.0757,4,7
405,72,1,0.993,0.307,0.0381,0.945,-28.197,0.104,72.453,1,0.0423,0.0631,5,11
406,71,1,0.992,0.249,0.00605,0.959,-33.947,0.0982,173.68,1,0.0444,0.137,3,2
407,69,1,0.991,0.394,0.00334,0.938,-32.17,0.0844,130.952,1,0.0569,0.195,4,7
408,71,1,0.995,0.441,0.0492,0.932,-27.257,0.109,139.639,1,0.0694,0.293,4,1
409,70,1,0.988,0.275,0.00429,0.937,-36.937,0.119,71.123,1,0.0473,0.304,4,3
410,66,1,0.991,0.454,0.0299,0.836,-26.691,0.117,67.129,1,0.0304,0.413,4,0
411,72,1,0.995,0.414,0.0149,0.963,-33.573,0.108,97.29,1,0.0477,0.314,4,1
412,70,1,0.994,0.492,0.0158,0.881,-28.273,0.107,51.579,1,0.0347,0.322,1,11
413,71,1,0.995,0.427,0.0442,0.927,-28.956,0.105,131.512,1,0.0476,0.191,4,5
414,71,1,0.992,0.28,0.0117,0.926,-31.752,0.0954,148.882,1,0.0409,0.184,4,8
415,61,1,0.995,0.513,0.0215,0.899,-29.315,0.105,114.489,1,0.0404,0.398,4,2
416,71,1,0.988,0.327,0.0145,0.925,-29.432,0.107,143.642,1,0.0416,0.126,4,5
417,69,1,0.995,0.45,0.016,0.972,-28.455,0.124,93.405,0,0.0416,0.319,3,4
418,70,1,0.988,0.368,0.0105,0.93,-32.672,0.109,101.337,1,0.0472,0.255,3,5
419,69,1,0.993,0.383,0.0185,0.943,-32.031,0.104,104.922,1,0.04,0.148,4,2
420,67,1,0.992,0.417,0.00841,0.957,-34.187,0.102,69.54,1,0.0543,0.329,5,10
421,68,1,0.992,0.439,0.00152,0.964,-34.179,0.102,69.049,1,0.0403,0.344,4,0
422,70,1,0.987,0.386,0.0124,0.913,-29.991,0.105,111.643,1,0.0376,0.107,4,3
423,68,1,0.995,0.508,0.0526,0.954,-33.418,0.104,125.013,1,0.0444,0.674,4,1
424,66,1,0.994,0.492,0.014,0.959,-24.46,0.0983,85.72,1,0.0346,0.408,4,4
425,69,1,0.995,0.537,0.00685,0.969,-31.067,0.105,77.963,1,0.0819,0.174,4,1
426,68,1,0.996,0.347,0.0185,0.924,-26.9,0.114,66.283,1,0.0378,0.282,3,8
427,67,1,0.994,0.366,0.0161,0.943,-35.317,0.101,126.935,1,0.0343,0.232,4,2
428,70,1,0.994,0.473,0.0279,0.894,-30.907,0.0973,79.213,1,0.0284,0.245,4,2
429,69,1,0.995,0.393,0.0156,0.947,-25.533,0.109,72.845,1,0.0369,0.354,4,3
430,68,1,0.982,0.513,0.0144,0.941,-24.793,0.0982,69.035,1,0.0396,0.244,4,10
431,67,1,0.994,0.498,0.0271,0.917,-26.316,0.107,63.969,1,0.0359,0.226,3,7
432,71,1,0.995,0.496,0.0117,0.897,-31.262,0.1,68.158,1,0.0586,0.234,3,2
433,67,1,0.993,0.462,0.0298,0.942,-35.15,0.107,114.649,1,0.0323,0.161,4,5
434,67,1,0.993,0.498,0.0355,0.957,-24.146,0.105,74.292,1,0.0492,0.222,3,5
435,68,1,0.993,0.364,0.00778,0.882,-33.944,0.106,111.421,1,0.0385,0.0917,4,6
436,68,1,0.99,0.525,0.0045,0.967,-36.824,0.113,99.734,1,0.0547,0.207,4,0
437,67,1,0.992,0.624,0.042,0.944,-26.379,0.113,111.45,1,0.0557,0.594,4,7
438,69,1,0.991,0.442,0.0254,0.955,-28.016,0.1,89.566,1,0.0373,0.188,4,1
439,68,1,0.986,0.307,0.0414,0.881,-28.823,0.0827,170.439,1,0.0332,0.263,4,11
440,65,1,0.996,0.395,0.0116,0.962,-36.199,0.113,129.514,1,0.0496,0.172,4,0
441,66,1,0.993,0.468,0.0598,0.929,-26.863,0.11,128.215,1,0.0418,0.647,4,11
442,71,1,0.99,0.368,0.0385,0.946,-34.973,0.112,122.674,1,0.0627,0.136,3,6
443,67,1,0.993,0.513,0.0257,0.961,-26.967,0.0998,108.7,1,0.0424,0.285,4,11
444,66,1,0.995,0.408,0.0322,0.858,-29.633,0.109,58.392,1,0.0339,0.301,4,2
445,71,1,0.993,0.383,0.0143,0.914,-30.279,0.0975,71.029,1,0.0444,0.183,3,1
446,66,1,0.993,0.363,0.0746,0.952,-27.182,0.105,111.604,1,0.0363,0.304,4,4
447,74,17,0.182,0.724,0.809,0.0,-5.022,0.0765,99.005,0,0.0929,0.606,4,6
448,77,1,0.106,0.828,0.726,0.00101,-6.389,0.103,113.017,0,0.0419,0.67,4,10
449,73,19,0.36,0.776,0.565,8.81e-05,-10.609,0.308,107.035,1,0.105,0.53,4,7
450,80,17,0.253,0.788,0.649,0.0136,-9.674,0.12,113.009,1,0.0532,0.229,4,2
451,73,4,0.0661,0.735,0.592,0.522,-11.208,0.125,104.065,1,0.0534,0.603,4,1
452,95,1,0.0856,0.673,0.722,0.0,-3.495,0.137,117.187,0,0.0755,0.519,4,3
453,82,15,0.0851,0.808,0.634,0.0,-6.764,0.127,100.03,0,0.172,0.569,4,2
454,78,22,0.101,0.774,0.609,0.0,-7.077,0.117,100.008,1,0.126,0.797,4,6
455,65,1,0.119,0.805,0.525,0.00203,-7.376,0.0779,100.033,0,0.0638,0.693,4,6
456,74,4,0.592,0.559,0.453,1.23e-05,-8.746,0.0909,123.906,0,0.0684,0.622,5,10
457,77,1,0.0369,0.792,0.503,0.00057,-8.044,0.0959,99.97,1,0.0626,0.381,4,1
458,75,16,0.365,0.814,0.789,0.000502,-6.29,0.137,107.003,1,0.0405,0.842,4,11
459,66,1,0.404,0.804,0.615,0.0,-7.033,0.0987,100.058,0,0.137,0.816,4,10
460,66,5,0.0342,0.906,0.638,1.7e-05,-7.917,0.0725,99.959,0,0.256,0.789,4,10
461,77,7,0.0289,0.747,0.665,0.000153,-7.073,0.102,104.959,0,0.0363,0.554,4,5
462,13,1,0.131,0.795,0.565,0.0,-4.457,0.0802,87.925,0,0.0948,0.55,4,3
463,61,1,0.568,0.655,0.708,0.00117,-6.403,0.113,186.017,0,0.141,0.525,4,5
464,57,1,0.112,0.893,0.757,0.0634,-2.843,0.107,95.018,1,0.0738,0.681,4,10
465,73,14,0.293,0.818,0.605,0.0116,-7.121,0.0696,104.931,1,0.038,0.366,4,1
466,61,1,0.29,0.587,0.818,3.02e-06,-4.136,0.11,191.637,0,0.155,0.886,4,3
467,53,1,0.205,0.784,0.771,1.18e-06,-3.897,0.194,100.006,0,0.0678,0.831,4,11
468,71,12,0.303,0.93,0.535,0.0201,-8.755,0.146,102.017,0,0.111,0.518,4,7
469,43,7,0.228,0.753,0.631,0.0402,-6.379,0.333,103.941,0,0.086,0.81,4,5
470,29,1,0.178,0.695,0.646,0.216,-7.291,0.0913,99.983,1,0.103,0.639,4,0
471,65,2,0.638,0.738,0.549,0.402,-9.704,0.111,98.965,1,0.0513,0.475,4,6
472,54,1,0.134,0.567,0.577,0.000397,-7.833,0.145,200.008,0,0.134,0.719,5,8
473,59,4,0.164,0.75,0.539,0.0226,-6.704,0.0633,196.054,1,0.215,0.809,4,7
474,65,1,0.173,0.891,0.692,0.132,-6.321,0.0939,109.944,0,0.0483,0.895,4,5
475,0,1,0.0562,0.735,0.696,0.0292,-7.097,0.0594,94.973,0,0.0574,0.955,4,0
476,37,1,0.0466,0.866,0.805,0.0,-4.029,0.0196,102.971,1,0.128,0.496,4,9
477,59,1,0.177,0.757,0.884,0.0,-4.708,0.0974,103.984,1,0.0615,0.833,4,6
478,64,1,0.293,0.818,0.605,0.0116,-7.121,0.0696,104.931,1,0.038,0.366,4,1
479,63,7,0.243,0.788,0.913,0.0689,-4.495,0.272,99.994,0,0.0671,0.672,4,5
480,65,1,0.0159,0.835,0.691,1.44e-05,-5.828,0.108,103.999,1,0.113,0.581,4,0
481,56,19,0.0475,0.726,0.617,0.0796,-8.434,0.112,189.953,1,0.129,0.629,4,5
482,62,1,0.379,0.928,0.675,0.0,-3.535,0.0533,105.952,1,0.0566,0.794,4,5
483,0,1,0.0562,0.735,0.696,0.0292,-7.097,0.0594,94.973,0,0.0574,0.955,4,0
484,60,1,0.115,0.84,0.687,2.2e-06,-7.203,0.115,113.038,0,0.1,0.678,4,11
485,59,1,0.572,0.951,0.415,0.00403,-6.847,0.0792,108.014,0,0.077,0.633,4,7
486,57,1,0.397,0.951,0.661,0.0,-2.678,0.0686,104.997,0,0.0612,0.926,4,7
487,72,12,0.0181,0.503,0.592,0.00014,-5.923,0.169,201.85,0,0.444,0.344,4,5
488,61,1,0.187,0.816,0.875,0.0,-2.499,0.0346,100.967,1,0.184,0.952,4,7
489,67,14,0.307,0.682,0.633,0.0328,-6.213,0.112,123.259,1,0.239,0.601,5,4
490,48,1,0.105,0.817,0.669,1.25e-06,-4.278,0.247,106.934,0,0.1,0.693,4,0
491,38,1,0.247,0.708,0.738,0.0561,-6.779,0.104,100.101,0,0.0601,0.55,4,5
492,52,13,0.0428,0.726,0.802,0.0728,-6.528,0.314,119.829,0,0.197,0.593,4,11
493,42,15,0.217,0.771,0.656,2.43e-05,-8.225,0.224,95.939,1,0.279,0.415,4,8
494,0,1,0.39,0.861,0.721,0.00827,-4.473,0.108,108.105,0,0.133,0.831,4,10
495,48,1,0.0345,0.616,0.504,0.000764,-6.882,0.0667,155.964,1,0.091,0.4,5,0
496,0,1,0.263,0.51,0.71,0.0,-6.883,0.108,57.182,1,0.304,0.784,4,8
497,35,1,0.0119,0.711,0.751,0.000627,-7.109,0.0577,160.091,0,0.0777,0.868,4,3
498,38,2,0.0768,0.535,0.563,1.45e-05,-6.681,0.121,91.17,0,0.197,0.345,4,4
499,62,14,0.0864,0.612,0.651,0.0,-6.974,0.368,90.272,0,0.281,0.902,4,1
500,38,1,0.0672,0.8,0.647,0.00154,-9.473,0.0648,115.025,0,0.0352,0.203,4,6
501,38,6,0.182,0.81,0.692,2.1e-05,-6.476,0.115,109.046,1,0.0527,0.622,4,6
502,62,15,0.136,0.773,0.609,0.0,-5.855,0.0729,98.071,0,0.244,0.697,4,4
503,55,1,0.452,0.631,0.565,4e-05,-6.89,0.0782,101.822,1,0.225,0.522,4,7
504,44,12,0.108,0.802,0.672,0.0259,-4.349,0.0724,101.029,1,0.0932,0.767,4,6
505,51,1,0.511,0.495,0.633,0.00337,-6.675,0.0927,201.726,1,0.294,0.738,4,6
506,37,7,0.126,0.815,0.751,0.0392,-6.381,0.0758,112.004,0,0.0362,0.852,4,4
507,34,1,0.112,0.669,0.723,0.0,-6.522,0.291,102.083,0,0.0851,0.87,4,8
508,53,17,0.163,0.489,0.646,0.0,-6.365,0.107,69.011,1,0.229,0.384,3,6
509,38,7,0.536,0.501,0.592,6.3e-06,-7.14,0.159,100.022,0,0.0541,0.407,4,9
510,41,5,0.127,0.792,0.662,0.00211,-7.73,0.109,100.917,0,0.0726,0.648,4,6
511,34,1,0.194,0.799,0.78,0.0045,-5.483,0.124,120.024,1,0.0651,0.946,4,0
512,40,20,0.00723,0.847,0.511,0.0128,-6.69,0.268,109.033,1,0.0724,0.676,4,11
513,40,1,0.319,0.664,0.722,0.0,-6.669,0.108,97.957,0,0.155,0.591,4,1
514,45,1,0.362,0.766,0.741,1.15e-05,-3.077,0.145,99.997,1,0.172,0.598,4,8
515,59,11,0.236,0.777,0.674,0.00039,-8.998,0.138,99.966,0,0.147,0.336,4,5
516,0,1,0.445,0.756,0.577,7.76e-05,-11.154,0.0839,101.798,0,0.365,0.882,4,10
517,35,1,0.472,0.684,0.768,0.0,-5.01,0.0966,110.528,0,0.106,0.888,4,1
518,58,17,0.706,0.552,0.656,1.25e-05,-4.941,0.0744,67.379,1,0.204,0.804,3,10
519,44,1,0.0611,0.949,0.732,2.64e-06,-6.407,0.0824,112.004,1,0.0647,0.645,4,2
520,33,1,0.553,0.831,0.623,2.07e-05,-7.672,0.0603,115.986,0,0.122,0.865,4,11
521,53,17,0.451,0.774,0.813,0.0,-6.105,0.0966,113.99,1,0.0898,0.687,4,4
522,34,1,0.187,0.721,0.707,2.84e-06,-7.547,0.266,114.064,1,0.25,0.518,4,0
523,9,14,0.256,0.662,0.783,6.56e-06,-4.816,0.211,190.08,0,0.098,0.829,4,8
524,23,1,0.25,0.607,0.707,0.0,-6.571,0.102,95.985,1,0.0681,0.303,4,10
525,38,2,0.244,0.604,0.448,0.00272,-12.055,0.0968,97.798,0,0.359,0.844,4,5
526,48,1,0.226,0.828,0.921,0.00213,-2.971,0.126,120.971,1,0.143,0.678,4,1
527,62,1,0.621,0.808,0.639,0.0281,-7.244,0.231,105.016,0,0.147,0.612,4,11
528,42,14,0.126,0.476,0.94,0.000474,-3.911,0.0591,191.395,0,0.435,0.58,4,1
529,67,1,0.402,0.638,0.676,1.07e-06,-5.944,0.171,88.903,0,0.22,0.688,4,10
530,35,1,0.138,0.609,0.708,0.0,-7.864,0.127,67.121,1,0.315,0.664,5,2
531,33,1,0.188,0.553,0.686,0.0,-4.124,0.101,196.025,0,0.0935,0.345,4,3
532,0,19,0.105,0.594,0.597,0.000103,-6.084,0.0748,201.906,1,0.165,0.639,4,6
533,44,1,0.149,0.477,0.642,0.00266,-5.72,0.0676,67.352,1,0.115,0.506,3,0
534,50,1,0.00597,0.883,0.533,0.00135,-12.851,0.0731,112.017,0,0.0547,0.2,4,10
535,5,10,0.729,0.865,0.815,0.0536,-5.007,0.104,102.967,0,0.236,0.697,4,2
536,55,5,0.194,0.539,0.579,0.000151,-5.198,0.111,91.991,1,0.211,0.295,4,11
537,37,1,0.746,0.508,0.562,0.00108,-7.682,0.0779,104.045,1,0.0941,0.794,4,0
538,48,7,0.425,0.559,0.769,5.46e-05,-4.242,0.0966,65.385,0,0.314,0.568,5,1
