,popularity,album.total_tracks,audio_features.acousticness,audio_features.danceability,audio_features.energy,audio_features.instrumentalness,audio_features.loudness,audio_features.liveness,audio_features.tempo,audio_features.mode,audio_features.speechiness,audio_features.valence,audio_features.time_signature,audio_features.key
60,74,1,0.471,0.823,0.415,0.0316,-10.845,0.128,113.976,0,0.0637,0.488,4,5
61,73,1,0.237,0.91,0.382,6.87e-06,-12.723,0.0744,111.991,0,0.0796,0.378,4,5
62,70,1,0.0444,0.628,0.795,0.00189,-6.27,0.582,114.003,0,0.0366,0.565,4,10
63,68,1,0.204,0.826,0.657,1.37e-05,-7.779,0.0668,118.049,0,0.147,0.86,4,5
64,74,17,0.182,0.724,0.809,0.0,-5.022,0.0765,99.005,0,0.0929,0.606,4,6
65,70,1,0.636,0.727,0.6,5.1e-06,-4.799,0.106,199.796,1,0.24,0.754,4,8
66,72,1,0.0259,0.845,0.638,0.00129,-6.549,0.0724,113.017,1,0.0394,0.839,4,1
67,82,15,0.0851,0.808,0.634,0.0,-6.764,0.127,100.03,0,0.172,0.569,4,2
68,73,1,5e-05,0.831,0.568,0.0901,-9.984,0.122,113.009,1,0.0515,0.16,4,1
69,82,1,0.117,0.775,0.662,0.0648,-7.755,0.0928,112.014,1,0.0408,0.257,4,10
70,79,5,0.183,0.61,0.599,0.000124,-5.752,0.0854,154.255,1,0.341,0.805,5,1
71,57,13,0.0243,0.873,0.784,0.0085,-4.148,0.0617,119.964,1,0.0456,0.886,4,8
72,75,22,0.581,0.768,0.663,0.0,-6.901,0.0974,96.039,0,0.0355,0.559,4,4
73,72,1,0.0805,0.845,0.609,0.000416,-6.498,0.0842,108.005,1,0.0401,0.648,4,9
74,78,14,0.692,0.778,0.801,0.000155,-7.326,0.0912,104.986,0,0.106,0.914,4,6
75,68,1,0.194,0.838,0.569,0.0377,-8.414,0.0802,113.046,0,0.0529,0.63,4,4
76,63,22,0.347,0.473,0.675,0.0,-10.175,0.108,111.862,1,0.0832,0.471,4,6
77,75,13,0.075,0.91,0.844,1.22e-05,-4.224,0.0297,113.027,1,0.0735,0.876,4,6
78,74,1,0.0246,0.842,0.504,0.0139,-7.557,0.0698,112.995,1,0.0534,0.495,4,1
79,73,14,0.256,0.689,0.835,1.14e-05,-6.364,0.22,111.966,0,0.144,0.769,4,1
80,67,1,0.144,0.812,0.651,5.81e-06,-7.628,0.107,112.016,0,0.0856,0.535,4,0
81,69,1,0.314,0.578,0.631,0.0,-7.619,0.107,108.783,1,0.228,0.794,4,8
82,59,1,0.3,0.663,0.54,1.45e-05,-8.911,0.123,139.362,1,0.392,0.612,5,8
83,71,15,0.113,0.898,0.735,0.00592,-7.374,0.173,95.992,0,0.109,0.403,4,4
84,65,1,0.216,0.517,0.551,0.0,-8.845,0.122,101.597,0,0.293,0.5,4,0
85,69,1,0.1,0.845,0.7,0.00113,-8.737,0.0984,119.997,0,0.0391,0.85,4,4
86,65,1,0.296,0.878,0.89,5.54e-06,-4.967,0.0645,112.016,1,0.0495,0.722,4,1
87,63,2,0.126,0.72,0.582,0.0,-7.854,0.231,178.943,0,0.297,0.804,4,3
88,66,1,0.493,0.588,0.677,0.0,-5.565,0.162,147.921,1,0.32,0.813,5,9
89,62,18,0.238,0.833,0.637,9.31e-05,-8.811,0.108,109.199,1,0.0522,0.215,4,2
90,64,15,0.191,0.668,0.642,0.000608,-8.366,0.105,100.354,0,0.129,0.477,4,9
91,66,7,0.00758,0.582,0.443,0.5,-11.856,0.0499,111.98,1,0.0983,0.26,4,2
92,67,2,0.0598,0.683,0.829,1.62e-05,-6.378,0.0727,77.929,0,0.0882,0.916,5,1
93,95,1,0.0856,0.673,0.722,0.0,-3.495,0.137,117.187,0,0.0755,0.519,4,3
94,59,1,0.0321,0.839,0.789,0.00024,-4.238,0.0822,101.971,0,0.0979,0.792,4,0
95,73,1,0.0106,0.628,0.652,0.00157,-6.065,0.145,104.075,0,0.0543,0.552,4,4
96,64,2,0.534,0.67,0.588,0.000502,-8.038,0.169,105.056,1,0.119,0.389,4,2
97,59,7,0.253,0.679,0.703,0.0099,-4.319,0.107,97.729,0,0.199,0.333,4,8
98,67,6,0.259,0.424,0.568,0.0,-7.294,0.0836,96.666,0,0.166,0.43,4,11
99,68,1,0.461,0.749,0.958,4.33e-05,-4.628,0.38,123.912,0,0.0662,0.615,4,4
100,73,1,0.887,0.867,0.316,0.0,-16.104,0.0996,139.95,0,0.487,0.768,4,1
101,73,1,0.0765,0.778,0.78,0.00827,-5.666,0.245,140.046,0,0.0638,0.803,4,11
102,83,1,0.435,0.718,0.417,8.73e-05,-13.02,0.0748,138.811,0,0.0502,0.749,4,5
103,85,15,0.00234,0.73,0.849,2.6e-05,-5.281,0.312,117.31,0,0.0299,0.887,4,1
104,75,2,0.53,0.546,0.436,0.1,-10.047,0.151,167.954,0,0.0591,0.119,4,1
105,87,1,0.682,0.527,0.376,0.0,-9.974,0.142,151.928,1,0.0298,0.24,4,5
106,69,1,0.843,0.781,0.585,0.0,-8.132,0.181,139.924,0,0.284,0.544,4,1
107,97,1,0.255,0.751,0.819,0.0,-4.372,0.236,131.842,0,0.0409,0.697,3,11
108,46,10,0.168,0.684,0.914,0.0,-6.32,0.236,147.862,0,0.0558,0.979,4,9
109,84,1,0.358,0.694,0.588,0.0,-6.24,0.299,73.929,1,0.0565,0.794,4,2
110,87,1,0.333,0.504,0.527,0.0,-7.765,0.0976,117.866,1,0.0976,0.234,4,10
111,76,1,0.0638,0.875,0.518,0.00995,-8.388,0.125,126.089,1,0.0551,0.37,4,2
112,77,9,0.798,0.557,0.295,0.0,-7.583,0.0951,108.055,1,0.0277,0.411,4,0
113,85,1,0.361,0.76,0.646,0.000109,-5.009,0.254,97.917,1,0.068,0.576,4,6
114,81,10,0.0248,0.667,0.845,0.065,-6.845,0.466,127.879,1,0.0812,0.681,4,6
115,78,1,0.531,0.825,0.696,5.61e-06,-7.909,0.11,108.042,0,0.157,0.727,4,3
116,73,14,0.00617,0.65,0.539,2.67e-05,-7.281,0.114,158.105,1,0.0561,0.253,4,1
117,61,1,0.299,0.696,0.47,0.0,-9.976,0.153,123.906,1,0.0312,0.305,4,4
118,76,1,0.277,0.689,0.449,2.17e-06,-7.169,0.0916,126.056,0,0.0366,0.788,4,8
119,72,2,0.759,0.778,0.448,0.0,-10.206,0.116,98.999,0,0.0415,0.718,4,6
120,79,3,0.088,0.699,0.806,0.0,-3.907,0.077,189.835,0,0.118,0.903,4,11
121,85,1,0.0504,0.781,0.567,0.0,-7.857,0.0981,121.964,1,0.0969,0.0743,4,1
122,62,15,0.619,0.769,0.648,0.0,-6.658,0.154,100.015,1,0.135,0.49,4,10
123,75,6,0.00116,0.529,0.811,0.000598,-6.088,0.105,117.821,0,0.0463,0.443,4,1
124,76,1,0.2,0.715,0.541,0.0,-6.909,0.138,83.975,0,0.041,0.735,4,9
125,76,5,0.0117,0.777,0.639,0.000222,-5.701,0.209,105.014,1,0.0289,0.601,4,2
126,0,5,0.212,0.844,0.868,3.39e-06,-1.231,0.331,129.981,0,0.245,0.734,4,11
127,81,12,0.85,0.524,0.209,0.0,-12.437,0.173,148.59,1,0.0405,0.347,3,4
128,75,1,0.42,0.656,0.521,0.0,-9.197,0.136,139.86,1,0.0464,0.262,4,4
129,83,1,0.68,0.518,0.679,1.21e-06,-5.372,0.102,93.118,0,0.046,0.423,4,6
130,77,1,0.456,0.483,0.22,0.00554,-16.585,0.112,153.722,1,0.0864,0.326,4,8
131,76,24,0.737,0.491,0.0964,0.0,-14.795,0.117,106.067,0,0.041,0.122,4,6
132,89,10,0.199,0.561,0.604,1.9e-05,-4.409,0.104,159.92,1,0.0337,0.242,3,9
133,71,1,0.179,0.958,0.518,0.0,-9.295,0.0844,122.057,1,0.297,0.639,4,0
134,82,9,0.809,0.479,0.632,0.0,-4.685,0.353,82.273,0,0.0332,0.414,4,10
135,74,1,0.0131,0.615,0.693,3.92e-06,-9.661,0.0852,118.006,1,0.0303,0.85,4,2
136,82,1,0.377,0.922,0.678,0.00279,-6.016,0.412,134.012,1,0.146,0.58,4,9
137,91,8,0.768,0.413,0.406,2.22e-06,-10.23,0.107,76.944,0,0.0353,0.281,4,10
138,95,10,0.131,0.774,0.86,0.0,-2.888,0.116,100.019,0,0.13,0.446,4,7
139,95,1,0.152,0.778,0.835,0.0,-3.598,0.109,140.082,0,0.0767,0.666,4,11
140,82,12,0.496,0.682,0.668,0.0,-6.586,0.171,120.088,0,0.104,0.644,4,0
141,76,5,0.669,0.684,0.531,0.013,-7.037,0.135,100.014,0,0.0523,0.613,4,9
142,89,1,0.00331,0.787,0.769,0.00332,-4.681,0.115,128.0,0,0.0335,0.509,4,7
143,72,8,0.562,0.616,0.669,0.0,-6.836,0.177,116.973,1,0.0349,0.475,4,1
144,82,1,0.553,0.416,0.473,1.2e-06,-9.726,0.168,118.354,0,0.0351,0.167,3,9
145,58,13,0.11,0.811,0.788,1.52e-06,-6.026,0.378,124.001,1,0.179,0.869,4,11
146,69,10,0.511,0.575,0.523,0.0,-8.071,0.0817,133.02,0,0.0451,0.357,4,7
147,79,1,0.095,0.866,0.532,0.639,-8.172,0.213,149.991,0,0.288,0.442,4,0
148,81,1,0.847,0.513,0.361,0.0,-6.082,0.22,79.153,1,0.0268,0.204,4,7
149,84,15,0.00529,0.624,0.74,0.000224,-8.445,0.5,172.089,1,0.0481,0.246,4,2
150,90,23,0.0277,0.47,0.64,0.0,-7.779,0.382,163.92,1,0.32,0.248,4,2
151,94,16,0.173,0.575,0.56,0.0,-7.302,0.257,75.956,1,0.478,0.471,4,5
152,90,22,0.0175,0.928,0.458,0.000446,-6.751,0.118,144.995,1,0.187,0.242,4,11
153,83,15,0.00495,0.678,0.758,0.0,-6.524,0.57,165.423,1,0.227,0.318,4,1
154,99,1,0.0026,0.943,0.558,2.19e-06,-4.911,0.0937,104.983,1,0.0568,0.606,4,2
155,78,16,0.00412,0.746,0.549,1.02e-06,-7.459,0.331,164.928,1,0.348,0.491,4,9
156,69,1,0.438,0.756,0.53,0.0,-9.732,0.194,92.5,1,0.396,0.517,4,0
157,79,15,0.258,0.836,0.409,4.92e-06,-14.189,0.242,101.931,1,0.188,0.233,4,9
158,80,1,0.028,0.93,0.682,0.0,-8.799,0.129,126.003,1,0.331,0.962,4,9
159,82,15,0.093,0.818,0.512,0.0441,-9.056,0.11,131.967,0,0.0926,0.155,4,5
160,85,1,0.0504,0.781,0.567,0.0,-7.857,0.0981,121.964,1,0.0969,0.0743,4,1
161,73,21,0.0185,0.78,0.41,0.0,-8.164,0.153,121.919,1,0.0451,0.0585,4,5
162,85,1,0.134,0.731,0.667,0.0,-7.928,0.114,123.042,0,0.0815,0.485,4,7
163,91,23,0.0377,0.645,0.729,0.0,-4.56,0.384,146.01,1,0.0528,0.142,4,2
164,79,1,0.379,0.862,0.621,0.0,-7.423,0.415,124.081,1,0.283,0.239,4,2
165,74,23,0.00172,0.673,0.526,0.0,-7.612,0.3,75.505,1,0.0677,0.303,4,8
166,62,1,0.0675,0.722,0.625,0.000576,-7.06,0.143,83.088,0,0.214,0.361,4,5
167,92,23,0.0464,0.663,0.67,8.92e-05,-8.399,0.205,136.952,1,0.271,0.138,4,8
168,73,14,0.00617,0.65,0.539,2.67e-05,-7.281,0.114,158.105,1,0.0561,0.253,4,1
169,83,21,0.0585,0.773,0.635,0.0,-5.06,0.132,121.879,1,0.0452,0.476,4,10
170,78,1,0.0724,0.736,0.645,0.00086,-5.195,0.136,132.024,1,0.0807,0.201,3,1
171,77,1,0.0981,0.877,0.229,0.0,-15.385,0.139,134.991,1,0.553,0.336,4,1
172,92,19,0.0186,0.927,0.619,0.0,-4.441,0.104,117.995,0,0.0539,0.817,4,5
173,88,22,0.027,0.736,0.769,0.0,-5.546,0.23,137.947,0,0.258,0.388,4,11
174,78,40,0.0195,0.831,0.793,0.0,-4.127,0.259,144.967,1,0.369,0.833,4,1
175,86,1,0.194,0.773,0.597,0.0,-7.138,0.22,160.101,1,0.309,0.305,4,2
176,76,2,0.0755,0.818,0.435,0.0,-8.167,0.207,130.046,0,0.322,0.282,4,4
177,72,1,0.0107,0.909,0.564,0.0,-7.483,0.109,146.94,1,0.31,0.548,4,2
178,78,1,0.709,0.816,0.649,0.0,-5.12,0.52,138.056,0,0.242,0.686,4,0
179,91,19,0.0316,0.569,0.882,0.0,-2.777,0.142,148.038,0,0.06,0.201,4,3
180,80,18,0.0382,0.67,0.555,6.36e-06,-9.12,0.414,156.937,0,0.0908,0.16,4,1
181,71,1,0.269,0.842,0.857,0.0,-4.521,0.418,136.956,1,0.203,0.54,4,2
182,76,7,0.0256,0.96,0.749,0.0,-3.881,0.0889,124.563,0,0.251,0.703,4,11
183,81,18,0.13,0.544,0.496,0.0,-12.032,0.166,103.148,1,0.21,0.314,5,0
184,72,19,0.00226,0.94,0.652,0.0,-5.806,0.0898,95.976,1,0.303,0.712,4,5
185,68,1,0.531,0.646,0.758,0.0,-5.673,0.363,73.318,1,0.398,0.407,4,2
186,73,1,0.00789,0.886,0.558,0.0,-7.806,0.133,75.499,1,0.346,0.614,4,1
187,74,22,0.194,0.823,0.728,0.0,-4.336,0.318,85.051,1,0.15,0.455,4,1
188,74,21,0.0538,0.677,0.658,0.0,-6.223,0.167,189.976,1,0.293,0.164,4,2
189,71,1,0.0619,0.876,0.528,0.0,-9.223,0.0904,123.007,1,0.233,0.346,4,9
190,78,1,0.0056,0.943,0.77,0.0,-4.665,0.116,120.004,1,0.237,0.219,4,2
191,73,1,0.225,0.805,0.63,0.0,-6.467,0.204,129.232,0,0.174,0.567,4,1
192,72,1,0.0332,0.525,0.552,0.0,-6.575,0.378,144.382,1,0.0709,0.148,4,1
193,70,19,0.472,0.621,0.462,0.0,-6.268,0.153,89.23,1,0.428,0.267,4,11
194,71,2,0.151,0.775,0.485,0.0,-7.942,0.193,114.6,0,0.469,0.532,5,5
195,69,1,0.0137,0.915,0.618,5.23e-06,-8.581,0.18,140.964,1,0.0881,0.154,4,7
196,81,1,0.314,0.724,0.711,0.0,-8.152,0.169,142.938,0,0.274,0.765,4,7
197,71,17,0.343,0.759,0.494,0.0,-9.495,0.114,129.969,1,0.341,0.174,4,2
198,94,1,0.269,0.868,0.538,3.34e-06,-8.603,0.0901,99.968,1,0.174,0.732,4,5
199,90,1,0.198,0.788,0.758,8.5e-05,-6.513,0.104,119.008,1,0.0505,0.823,4,1
200,99,1,0.0026,0.943,0.558,2.19e-06,-4.911,0.0937,104.983,1,0.0568,0.606,4,2
201,100,1,0.256,0.75,0.733,0.0,-3.18,0.114,111.018,0,0.0319,0.844,1,6
202,94,1,0.269,0.868,0.538,3.34e-06,-8.603,0.0901,99.968,1,0.174,0.732,4,5
203,99,18,0.117,0.552,0.702,2.06e-05,-5.707,0.105,169.994,1,0.157,0.564,4,9
204,96,14,0.782,0.662,0.488,0.0,-6.894,0.102,117.913,1,0.0682,0.817,4,9
205,95,12,0.177,0.511,0.532,0.0,-5.745,0.291,138.005,1,0.0578,0.35,4,5
206,96,1,0.701,0.628,0.523,0.00274,-8.307,0.219,169.982,0,0.0946,0.416,4,11
207,78,1,0.0589,0.747,0.612,0.0,-6.447,0.451,149.893,1,0.0929,0.89,4,5
208,95,1,0.0856,0.673,0.722,0.0,-3.495,0.137,117.187,0,0.0755,0.519,4,3
209,91,23,0.0377,0.645,0.729,0.0,-4.56,0.384,146.01,1,0.0528,0.142,4,2
210,97,3,0.0545,0.522,0.641,0.0,-6.287,0.162,87.51,1,0.0318,0.202,4,8
211,93,23,0.141,0.559,0.551,0.0,-7.231,0.11,143.008,1,0.132,0.392,4,5
212,93,17,0.228,0.75,0.674,8.91e-05,-6.128,0.122,123.026,0,0.097,0.392,4,8
213,92,17,0.0893,0.787,0.686,0.0,-4.37,0.0927,123.51,0,0.0339,0.836,4,6
214,98,11,0.868,0.504,0.308,0.135,-14.958,0.158,113.95,1,0.0321,0.121,4,9
215,94,1,0.959,0.444,0.0911,1.05e-06,-17.665,0.098,78.403,1,0.0307,0.142,4,0
216,89,10,0.199,0.561,0.604,1.9e-05,-4.409,0.104,159.92,1,0.0337,0.242,3,9
217,93,1,0.0207,0.671,0.845,0.0,-4.93,0.329,110.056,0,0.048,0.775,4,11
218,94,16,0.173,0.575,0.56,0.0,-7.302,0.257,75.956,1,0.478,0.471,4,5
219,89,2,0.152,0.838,0.569,0.000136,-6.324,0.102,136.965,0,0.0621,0.551,4,5
220,95,1,0.0569,0.855,0.678,3.69e-05,-6.276,0.412,99.029,1,0.189,0.852,4,1
221,91,3,0.311,0.802,0.832,0.0,-4.107,0.0815,124.997,1,0.0434,0.89,4,11
222,90,1,0.382,0.801,0.806,0.000669,-5.206,0.114,106.999,1,0.0381,0.802,4,11
223,97,1,0.255,0.751,0.819,0.0,-4.372,0.236,131.842,0,0.0409,0.697,3,11
224,93,16,0.554,0.429,0.453,2e-06,-7.746,0.102,77.639,1,0.0459,0.155,4,0
225,94,1,0.0036,0.744,0.789,0.00144,-4.876,0.0947,116.985,0,0.059,0.866,4,9
226,94,22,0.15,0.787,0.621,0.000402,-5.009,0.58,139.056,0,0.068,0.13,4,4
227,90,22,0.0175,0.928,0.458,0.000446,-6.751,0.118,144.995,1,0.187,0.242,4,11
228,92,23,0.0521,0.644,0.735,0.144,-5.747,0.161,88.98,1,0.0391,0.418,4,8
229,93,21,0.0504,0.596,0.658,0.0,-7.346,0.127,100.012,1,0.036,0.176,4,0
230,89,1,0.152,0.85,0.699,0.0,-3.292,0.32,114.481,1,0.0776,0.915,4,0
231,97,11,0.0447,0.711,0.809,0.0,-4.389,0.339,106.017,0,0.0955,0.816,4,2
232,95,1,0.0562,0.72,0.88,0.06,-2.834,0.153,180.011,1,0.101,0.463,4,9
233,87,17,0.855,0.518,0.368,4.9e-06,-7.76,0.119,141.934,0,0.0353,0.234,4,11
234,87,1,0.00136,0.498,0.897,0.0,-4.907,0.118,169.902,1,0.045,0.373,4,2
235,96,1,0.827,0.537,0.421,0.0,-8.72,0.138,98.224,1,0.0285,0.524,4,5
236,93,15,0.119,0.847,0.622,0.0,-6.747,0.285,130.001,0,0.0903,0.22,4,1
237,95,1,0.83,0.508,0.43,0.000441,-9.475,0.093,130.09,0,0.0335,0.324,4,2
238,92,19,0.0186,0.927,0.619,0.0,-4.441,0.104,117.995,0,0.0539,0.817,4,5
239,90,2,0.18,0.776,0.817,3.44e-05,-6.018,0.146,149.921,0,0.0748,0.515,4,5
240,87,10,0.0878,0.629,0.654,0.00655,-7.852,0.22,93.034,0,0.0584,0.799,4,11
241,95,10,0.131,0.774,0.86,0.0,-2.888,0.116,100.019,0,0.13,0.446,4,7
242,90,23,0.0277,0.47,0.64,0.0,-7.779,0.382,163.92,1,0.32,0.248,4,2
243,86,1,0.511,0.639,0.723,0.0,-6.462,0.167,136.872,0,0.0532,0.878,4,7
244,92,1,0.529,0.747,0.391,0.003,-13.767,0.111,102.984,1,0.052,0.195,4,0
245,85,11,0.435,0.783,0.592,4.15e-06,-8.332,0.347,120.018,0,0.0331,0.726,4,11
246,94,1,0.001,0.638,0.717,1.79e-06,-5.804,0.113,141.904,1,0.0375,0.422,4,8
247,89,1,0.12,0.671,0.876,0.188,-5.681,0.0823,129.998,0,0.0352,0.964,4,7
248,94,14,0.0584,0.706,0.691,6.99e-05,-4.775,0.0232,118.048,1,0.0633,0.632,4,0
249,83,1,0.435,0.718,0.417,8.73e-05,-13.02,0.0748,138.811,0,0.0502,0.749,4,5
250,78,22,0.101,0.774,0.609,0.0,-7.077,0.117,100.008,1,0.126,0.797,4,6
251,68,5,0.243,0.803,0.6,0.00542,-6.533,0.0507,103.039,1,0.0485,0.524,4,9
252,71,14,0.313,0.637,0.452,0.00013,-8.28,0.138,103.072,0,0.0315,0.228,4,6
253,82,1,0.117,0.775,0.662,0.0648,-7.755,0.0928,112.014,1,0.0408,0.257,4,10
254,81,14,0.201,0.806,0.342,0.0176,-7.503,0.0758,92.985,1,0.075,0.937,4,9
255,78,11,0.556,0.675,0.546,0.00441,-7.716,0.167,77.415,0,0.0511,0.607,4,4
256,75,2,0.0378,0.753,0.669,0.0,-4.914,0.122,140.948,0,0.104,0.584,4,7
257,69,16,0.064,0.773,0.685,6.85e-06,-7.529,0.113,95.043,0,0.309,0.576,4,5
258,58,10,0.3,0.292,0.604,0.0,-4.447,0.615,173.233,0,0.0764,0.625,4,5
259,67,1,0.373,0.735,0.328,0.000307,-9.584,0.186,140.077,0,0.0681,0.323,4,5
260,62,1,0.688,0.35,0.485,0.0128,-8.909,0.0924,141.478,1,0.0354,0.223,4,0
261,58,11,0.193,0.68,0.547,0.0,-5.645,0.126,80.006,0,0.12,0.156,4,4
262,70,1,0.323,0.624,0.524,0.0,-7.034,0.0732,130.078,1,0.0434,0.546,4,2
263,71,12,0.0515,0.404,0.557,0.0,-8.204,0.167,142.302,0,0.154,0.135,3,6
264,76,22,0.0253,0.54,0.649,0.0,-6.802,0.0687,93.353,0,0.363,0.409,4,5
265,67,5,0.0856,0.673,0.722,0.0,-3.495,0.137,117.187,0,0.0755,0.519,4,3
266,70,7,0.183,0.777,0.631,4.4e-06,-5.649,0.119,96.015,0,0.0612,0.337,4,8
267,62,10,0.368,0.653,0.517,2.03e-06,-6.27,0.105,93.052,0,0.0487,0.514,4,0
